"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"1","B cell","TCD4",23,166,162,389,331,"CD19, CD27, CD71, CD28, CD38, CD45, CD79A, CD14, CD95, CCR7, CD3, CD45RA, CD127, CD25, IL4R, CD69, HLADR, TCF7, CXCR3, CD8+, SATB1, TBX21, CCR6",5.91,6.95,2.7677695831161e-75,74.5578700677364
"2","B cell","TCD8",27,162,257,389,433,"CD27, CD28, CD38, CD45, HLA-DRA, CXCR4, CCR7, CD56, CD3, CD45RA, HLA-A, CD52, BACH2, HLA-DR, CD127, CD25, AHNAK, TAGLN2, CD69, HLADR, TCF7, CXCR3, TCRβ, ZEB2, TBX21, CXCR5, CCR6",6.94,6.24,1.16669980784568e-93,92.9330408736607
"3","B cell","Treg",12,177,100,389,130,"CD27, CD28, CCR7, CD3, CD45RA, CD52, BACH2, CD70, HLA-DR, CD127, CD25, CD8+",3.08,9.23,1.00977018658894e-64,63.9957774559727
"4","B cell","T helper",11,178,53,389,89,"CD38, CD10, T-bet, CCR7, BCL6, CD3, HLA-DR, CD25, CXCR3, CXCR5, CCR6",2.83,12.36,6.82647176189592e-43,42.165803701919
"5","B cell","Neutrophil",20,169,89,389,134,"CD19, CD86, CD71, CD38, CD10, CD45, CD20, CD43, CD14, CD11c, CD56, CD3, CD45RA, HLA-A, MME, HLA-DR, CD80, CD127, CD81, CD117",5.14,14.93,1.40833756471686e-53,52.851293236584
"6","B cell","Granulocyte-monocyte",5,184,113,389,118,"CD38, CALR, FCGR2A, GCNT1, APLP2",1.29,4.24,7.14898102561201e-78,77.1457558556102
"7","B cell","Monocyte",34,155,161,389,295,"CD19, CD27, CD86, CD38, CD45, CD20, CD74, CD14, CD11c, CD95, HLA-DRA, CD138, IL6, CD22, HLA-DOA1, CD1C, NR4A1, CCR7, CD56, CD3, CD45RA, CD40, HLA-DR, CD80, FCGR2A, HLA-DPB1, HLADR, CD117, CXCR3, HLA-DRB1, IgA, IgG, HES4, LYN",8.74,11.53,3.65407853712106e-66,65.4372221225906
"8","B cell","Dendritic cell",47,142,1022,389,1246,"CD19, CD27, CD86, CD38, CD45, CD20, CD5, CD79B, BLNK, CD14, CD11c, MZB1, LILRA4, IGJ, JCHAIN, CD22, ADAM28, TCF4, TCL1A, CD99, CD1C, NR4A1, CCR7, BCL6, CD45RA, CD52, CD40, HLA-DR, CD80, CD1c, CD72, FCGR2A, SPIB, ITGB1, BCL11A, HLA-DPB1, SWAP70, HLADR, IRF4, KIF16B, CXCR3, CD83, ZEB2, ITGAX, LILRB2, LYN, CCR6",12.08,3.77,1.68583623914511e-144,143.773184614699
"9","B cell","Macrophage",13,176,70,389,98,"CD19, CD86, CD14, CD11c, IL10, CCR7, CD40, HLA-DR, CD80, CD127, CD23, CD83, DHRS9",3.34,13.27,2.19135615561561e-50,49.6592870319106
"10","B cell","Mast cell",2,187,4,389,6,"CD69, CD117",0.51,33.33,2.67705315699525e-07,6.57234300514459
